# Distance (mm), OD (Y Direction)
   4.86992,   0.40763
   4.96541,   0.38915
   5.06090,   0.37142
   5.15639,   0.34204
   5.25188,   0.31452
   5.34737,   0.28864
   5.44286,   0.27451
   5.53835,   0.25085
   5.63383,   0.23788
   5.72932,   0.21913
   5.82481,   0.19533
   5.92030,   0.18390
   6.01579,   0.17552
   6.11128,   0.15923
   6.20677,   0.15394
   6.30226,   0.14097
   6.39774,   0.13338
   6.49323,   0.12345
   6.58872,   0.11615
   6.68421,   0.11135
   6.77970,   0.10897
   6.87519,   0.09958
   6.97068,   0.09267
   7.06617,   0.08586
   7.16165,   0.08139
   7.25714,   0.07696
   7.35263,   0.07476
   7.44812,   0.07476
   7.54361,   0.06607
   7.63910,   0.05967
   7.73459,   0.05545
   7.83008,   0.05336
   7.92556,   0.05336
   8.02105,   0.04920
   8.11654,   0.04509
   8.21203,   0.04509
   8.30752,   0.04509
   8.40301,   0.03898
   8.49850,   0.03697
   8.59398,   0.03898
   8.68947,   0.03496
   8.78496,   0.03098
   8.88045,   0.03098
   8.97594,   0.03296
   9.07143,   0.03697
   9.16692,   0.03098
   9.26241,   0.02900
   9.35789,   0.02703
   9.45338,   0.02312
   9.54887,   0.02312
   9.64436,   0.02117
   9.73985,   0.02117
   9.83534,   0.01924
   9.93083,   0.02117
  10.02632,   0.02312
  10.12180,   0.02312
  10.21729,   0.02312
  10.31278,   0.02117
  10.40827,   0.01924
  10.50376,   0.01924
  10.59925,   0.01731
  10.69474,   0.01924
  10.79023,   0.01731
  10.88571,   0.01924
  10.98120,   0.01540
  11.07669,   0.01540
  11.17218,   0.01731
  11.26767,   0.01540
  11.36316,   0.01540
  11.45865,   0.01924
  11.55414,   0.01349
  11.64962,   0.01159
  11.74511,   0.00969
  11.84060,   0.00781
  11.93609,   0.01159
  12.03158,   0.00969
  12.12707,   0.01159
  12.22256,   0.00969
  12.31805,   0.00969
  12.41353,   0.01159
  12.50902,   0.00969
  12.60451,   0.00969
  12.70000,   0.01159
  12.79549,   0.01159
  12.89098,   0.01540
  12.98647,   0.00781
  13.08195,   0.00781
  13.17744,   0.00781
  13.27293,   0.00593
  13.36842,   0.01159
  13.46391,   0.00969
  13.55940,   0.00969
  13.65489,   0.01159
  13.75038,   0.00781
