# Distance (mm), OD (X Direction)
  -2.00526,   1.29224
  -1.90977,   1.33003
  -1.81429,   1.33003
  -1.71880,   1.33003
  -1.62331,   1.33003
  -1.52782,   1.29224
  -1.43233,   1.33003
  -1.33684,   1.33003
  -1.24135,   1.33003
  -1.14586,   1.29224
  -1.05038,   1.33003
  -0.95489,   1.37142
  -0.85940,   1.37142
  -0.76391,   1.29224
  -0.66842,   1.37142
  -0.57293,   1.33003
  -0.47744,   1.33003
  -0.38195,   1.33003
  -0.28647,   1.33003
  -0.19098,   1.37142
  -0.09549,   1.37142
   0.00000,   1.46833
   0.09549,   1.33003
   0.19098,   1.33003
   0.28647,   1.33003
   0.38195,   1.37142
   0.47744,   1.41718
   0.57293,   1.33003
   0.66842,   1.41718
   0.76391,   1.37142
   0.85940,   1.33003
   0.95489,   1.33003
   1.05038,   1.33003
   1.14586,   1.37142
   1.24135,   1.37142
   1.33684,   1.41718
   1.43233,   1.33003
   1.52782,   1.33003
   1.62331,   1.33003
   1.71880,   1.37142
   1.81429,   1.37142
   1.90977,   1.33003
   2.00526,   1.29224
   2.10075,   1.33003
   2.19624,   1.33003
   2.29173,   1.29224
   2.38722,   1.37142
   2.48271,   1.37142
   2.57820,   1.29224
   2.67368,   1.33003
   2.76917,   1.33003
   2.86466,   1.29224
   2.96015,   1.25748
   3.05564,   1.19533
   3.15113,   1.16730
   3.24662,   1.14097
   3.34211,   1.07039
   3.43759,   0.99121
   3.53308,   0.92426
   3.62857,   0.86627
   3.72406,   0.81512
   3.81955,   0.75864
   3.91504,   0.69018
   4.01053,   0.64715
   4.10602,   0.59327
   4.20150,   0.54535
   4.29699,   0.50810
   4.39248,   0.47933
   4.48797,   0.45761
   4.58346,   0.41718
   4.67895,   0.38465
   4.77444,   0.35858
   4.86992,   0.34204
   4.96541,   0.31452
   5.06090,   0.29587
   5.15639,   0.28506
   5.25188,   0.26421
   5.34737,   0.24432
   5.44286,   0.23788
   5.53835,   0.22529
   5.63383,   0.21005
   5.72932,   0.19824
   5.82481,   0.18673
   5.92030,   0.17276
   6.01579,   0.16730
   6.11128,   0.15131
   6.20677,   0.14353
   6.30226,   0.13338
   6.39774,   0.12591
   6.49323,   0.12345
   6.58872,   0.11615
   6.68421,   0.10897
   6.77970,   0.10425
   6.87519,   0.10425
   6.97068,   0.09496
   7.06617,   0.09267
   7.16165,   0.08812
   7.25714,   0.08362
   7.35263,   0.07917
   7.44812,   0.07257
   7.54361,   0.06823
   7.63910,   0.06607
   7.73459,   0.06393
   7.83008,   0.06179
   7.92556,   0.05755
   8.02105,   0.05545
   8.11654,   0.05128
   8.21203,   0.04920
   8.30752,   0.04714
   8.40301,   0.04304
   8.49850,   0.04101
   8.59398,   0.03898
   8.68947,   0.03697
   8.78496,   0.03697
   8.88045,   0.03496
   8.97594,   0.03098
   9.07143,   0.03098
   9.16692,   0.03098
   9.26241,   0.02900
   9.35789,   0.03098
   9.45338,   0.03098
   9.54887,   0.02900
   9.64436,   0.02507
   9.73985,   0.02703
   9.83534,   0.02312
   9.93083,   0.02117
  10.02632,   0.02312
  10.12180,   0.01924
  10.21729,   0.01731
  10.31278,   0.01540
  10.40827,   0.01540
  10.50376,   0.01731
  10.59925,   0.01924
  10.69474,   0.01731
  10.79023,   0.01540
  10.88571,   0.01349
  10.98120,   0.01349
  11.07669,   0.01349
  11.17218,   0.01924
  11.26767,   0.01731
  11.36316,   0.01924
  11.45865,   0.01924
  11.55414,   0.01924
  11.64962,   0.01924
  11.74511,   0.01731
  11.84060,   0.01349
  11.93609,   0.01540
  12.03158,   0.01349
  12.12707,   0.01540
  12.22256,   0.01349
  12.31805,   0.01349
  12.41353,   0.01540
  12.50902,   0.01540
  12.60451,   0.01349
  12.70000,   0.01540
  12.79549,   0.01159
  12.89098,   0.01159
  12.98647,   0.01159
  13.08195,   0.01159
  13.17744,   0.00969
  13.27293,   0.01159
  13.36842,   0.00969
  13.46391,   0.00969
  13.55940,   0.00781
  13.65489,   0.00969
  13.75038,   0.00781
  13.84586,   0.00969
  13.94135,   0.00969
  14.03684,   0.00781
  14.13233,   0.01159
  14.22782,   0.00781
  14.32331,   0.01159
  14.41880,   0.00781
  14.51429,   0.00969
  14.60977,   0.00781
  14.70526,   0.00969
  14.80075,   0.00781
  14.89624,   0.00593
  14.99173,   0.00781
  15.08722,   0.00781
  15.18271,   0.00969
  15.27820,   0.00781
  15.37368,   0.00781
  15.46917,   0.00969
  15.56466,   0.00969
  15.66015,   0.00969
  15.75564,   0.00407
  15.85113,   0.00781
  15.94662,   0.00781
  16.04211,   0.00593
  16.13759,   0.00969
  16.23308,   0.00781
  16.32857,   0.00969
  16.42406,   0.00781
  16.51955,   0.00781
  16.61504,   0.00969
  16.71053,   0.00781
  16.80602,   0.00593
  16.90150,   0.00593
  16.99699,   0.00593
  17.09248,   0.00969
  17.18797,   0.00781
  17.28346,   0.00969
  17.37895,   0.00593
  17.47444,   0.00593
  17.56992,   0.00407
  17.66541,   0.00593
  17.76090,   0.00781
  17.85639,   0.00407
  17.95188,   0.00221
